Area_id,Base Office
36,34 -  Tangub
36,35 -  Montevista 1
130,36 -  Mansilingan 1
130,37 -  Mansilingan 2
34,40 -  Talisay
34,41 -  Silay
43,42 -  Bago 1
43,43 -  Valladolid
35,44 -  Hinigaran
43,45 -  La Carlota
35,46 -  Binalbagan
34,47 -  Victorias
115,48 -  Cadiz
37,49 -  Kabankalan City
37,50 -  Cauayan
115,51 -  Sagay 1
40,52 -  Escalante
40,53 -  San Carlos
43,56 -  La Castellana
37,57 -  Sipalay
26,58 -  Cainta
38,59 -  Bais City
55,60 -  Buhangin
26,61 -  Antipolo 1
38,62 -  Tanjay City
55,63 -  Matina
117,64 -  Agdao
117,65 -  Panacan
153,66 -  Tayasan
153,67 -  Guihulngan
54,68 -  Mintal
125,69 -  Rodriguez
125,70 -  San Mateo
54,71 -  Toril 1
135,72 -  Angono
134,74 -  Bayawan 1
39,75 -  Dumaguete 1
134,76 -  Siaton
134,77 -  Bayawan 2
18,78 -  Malolos
152,79 -  Sibulan
54,80 -  Toril 2
61,81 -  Digos City 1
61,82 -  Digos City 2
61,83 -  Bansalan
120,84 -  Padada
19,85 -  Csjdm 1
19,86 -  Sta. Maria 1
126,87 -  Marilao
126,88 -  Meycauayan
126,89 -  Balagtas
135,90 -  Binangonan
94,92 -  Kawit
24,93 -  Bacoor
94,94 -  Imus
94,95 -  Dasmari¤as 1
22,96 -  Silang
56,97 -  Panabo City 1
56,98 -  Panabo City 2
53,99 -  Nabunturan
53,100 -  Tagum City 1
53,101 -  Tagum City 2
12,102 -  Apalit
18,103 -  Pulilan
126,104 -  Bulakan
17,105 -  Baliuag
19,106 -  Csjdm 2
58,107 -  General Santos City 1
58,108 -  General Santos City 2
96,109 -  Alabel
58,110 -  Polomolok
142,111 -  Koronadal 1
18,112 -  Plaridel
18,113 -  Calumpit
19,114 -  Norzagaray
17,115 -  San Miguel
17,116 -  San Rafael
23,117 -  Trece Martirez City
23,118 -  Indang
22,119 -  Tagaytay City
22,120 -  Alfonso
23,121 -  Gen. Trias
142,124 -  Koronadal 2
59,125 -  Surallah 1
60,126 -  Isulan 1
60,127 -  Tacurong 1
60,128 -  Isulan 2
72,129 -  Valencia City
72,130 -  Malaybalay City
67,131 -  Maramag
67,132 -  Don Carlos
122,133 -  Manolo Fortich
106,134 -  Carcar
105,135 -  Minglanilla
42,136 -  Naga
106,137 -  Argao
106,138 -  Dalaguete
66,139 -  Balulang
66,140 -  Bulua
122,141 -  Bugo
66,142 -  Lapasan
66,143 -  Kauswagan
42,144 -  Toledo City
42,145 -  Pinamungajan
42,146 -  Balamban
49,147 -  Tabuelan
41,148 -  Barili
12,149 -  Mexico
137,150 -  San Fernando
137,151 -  Lubao
12,152 -  Arayat
13,153 -  Porac
32,154 -  Balayan
32,155 -  Nasugbu
32,156 -  Calaca
32,157 -  Lemery
32,158 -  Lian
144,159 -  Tagoloan
65,160 -  El Salvador City
122,161 -  Gusa
144,162 -  Balingasag
144,163 -  Jasaan
49,164 -  Danao City
47,165 -  Bogo City
49,166 -  Catmon
48,167 -  Liloan
48,168 -  Consolacion
38,169 -  Santander
41,170 -  Moalboal
48,171 -  Lapu -  Lapu City
112,172 -  Bauan
112,173 -  Batangas
99,174 -  Rosario
138,175 -  Tanauan
99,176 -  Lipa City
68,177 -  Butuan 1
68,178 -  Butuan 2
68,179 -  Nasipit
69,180 -  Talisayan
69,181 -  Gingoog
117,182 -  Samal 1
121,183 -  Compostela
56,184 -  Sto. Tomas
7,185 -  Gapan
13,186 -  Angeles
149,187 -  Morong
149,188 -  Tanay
45,189 -  Tagbilaran City
44,190 -  Loon
44,191 -  Tubigon
141,192 -  Talibon
46,193 -  Ubay
121,194 -  Monkayo
121,195 -  Trento
123,196 -  San Francisco
110,197 -  Cabanatuan
7,198 -  Cabiao
108,199 -  Dinalupihan
14,200 -  Orani
63,201 -  Iligan 1
65,202 -  Iligan 2
65,203 -  Iligan 3
65,204 -  Initao
143,205 -  Kidapawan 1
143,206 -  Matalam
126,207 -  Sta. Maria 2
105,208 -  Mandaue City 1
48,209 -  Mandaue City 2
14,210 -  Balanga
